Time,Parameter 1,Parameter 2,Parameter 3
2025-06-20 23:30:00,36.97,60.29,6.88
2025-06-20 23:45:00,36.95,60.54,6.88
2025-06-21 00:00:00,37.09,60.54,6.88
2025-06-21 00:15:00,37.03,60.35,6.88
2025-06-21 00:30:00,37.02,59.80,6.88
2025-06-21 00:45:00,37.01,59.82,6.88
2025-06-21 01:00:00,37.00,60.24,6.88
2025-06-21 01:15:00,37.00,59.94,6.88
2025-06-21 01:30:00,36.99,60.36,6.88
2025-06-21 01:45:00,36.99,59.98,6.88
2025-06-21 02:00:00,37.04,60.48,6.88
2025-06-21 02:15:00,37.08,60.21,6.88
2025-06-21 02:30:00,37.01,59.41,6.88
2025-06-21 02:45:00,36.99,59.37,6.88
2025-06-21 03:00:00,36.97,60.04,6.88
2025-06-21 03:15:00,36.94,60.58,6.88
2025-06-21 03:30:00,36.96,59.96,6.88
2025-06-21 03:45:00,37.05,59.69,6.88
2025-06-21 04:00:00,36.95,60.40,6.88
2025-06-21 04:15:00,37.02,60.18,6.87
2025-06-21 04:30:00,37.01,59.59,6.87
2025-06-21 04:45:00,37.09,59.91,6.87
2025-06-21 05:00:00,36.92,60.92,6.87
2025-06-21 05:15:00,36.97,60.47,6.87
2025-06-21 05:30:00,36.97,60.14,6.87
2025-06-21 05:45:00,37.00,60.22,6.87
2025-06-21 06:00:00,36.98,60.60,6.87
2025-06-21 06:15:00,37.06,60.28,6.87
2025-06-21 06:30:00,37.04,59.99,6.87
2025-06-21 06:45:00,37.03,59.99,6.87
2025-06-21 07:00:00,37.03,60.87,6.87
2025-06-21 07:15:00,36.99,60.19,6.87
2025-06-21 07:30:00,36.99,59.81,6.87
2025-06-21 07:45:00,36.97,59.96,6.87
2025-06-21 08:00:00,36.94,60.74,6.87
2025-06-21 08:15:00,36.97,60.55,6.87
2025-06-21 08:30:00,37.02,59.76,6.87
2025-06-21 08:45:00,37.08,60.01,6.87
2025-06-21 09:00:00,36.98,60.53,6.87
2025-06-21 09:15:00,37.05,60.45,6.87
2025-06-21 09:30:00,37.03,60.49,6.87
2025-06-21 09:45:00,37.02,60.21,6.87
2025-06-21 10:00:00,37.01,61.10,6.88
2025-06-21 10:15:00,36.99,60.41,6.88
2025-06-21 10:30:00,37.02,60.75,6.88
2025-06-21 10:45:00,36.97,60.51,6.88
2025-06-21 11:00:00,37.06,60.85,6.88
2025-06-21 11:15:00,37.04,60.63,6.88
2025-06-21 11:30:00,36.99,60.16,6.88
2025-06-21 11:45:00,36.94,59.90,6.88
2025-06-21 12:00:00,36.95,61.02,6.88
2025-06-21 12:15:00,37.02,60.61,6.88
2025-06-21 12:30:00,37.01,60.42,6.88
2025-06-21 12:45:00,37.02,59.96,6.88
2025-06-21 13:00:00,36.98,60.81,6.88
2025-06-21 13:15:00,36.95,60.27,6.88
2025-06-21 13:30:00,37.04,60.75,6.88
2025-06-21 13:45:00,36.92,59.63,6.88
2025-06-21 14:00:00,36.89,60.59,6.88
2025-06-21 14:15:00,36.91,59.83,6.88
2025-06-21 14:30:00,36.98,59.90,6.88
2025-06-21 14:45:00,36.95,59.73,6.88
2025-06-21 15:00:00,36.99,60.36,6.88
2025-06-21 15:15:00,37.07,59.29,6.88
2025-06-21 15:30:00,37.02,59.87,6.88
2025-06-21 15:45:00,37.03,59.91,6.88
2025-06-21 16:00:00,36.94,60.69,6.88
2025-06-21 16:15:00,37.02,60.85,6.88
2025-06-21 16:30:00,36.99,60.88,6.88
2025-06-21 16:45:00,37.03,60.42,6.88
2025-06-21 17:00:00,36.94,60.84,6.88
2025-06-21 17:15:00,36.97,60.18,6.89
2025-06-21 17:30:00,36.96,59.93,6.89
2025-06-21 17:45:00,37.06,59.88,6.89
2025-06-21 18:00:00,36.97,61.73,6.89
2025-06-21 18:15:00,36.95,60.47,6.92
2025-06-21 18:30:00,37.02,60.28,6.93
2025-06-21 18:45:00,36.98,60.49,6.92
2025-06-21 19:00:00,36.99,61.27,6.91
2025-06-21 19:15:00,36.95,60.16,6.91
2025-06-21 19:30:00,37.07,60.03,6.90
2025-06-21 19:45:00,36.99,60.21,6.90
2025-06-21 20:00:00,36.99,60.95,6.90
2025-06-21 20:15:00,37.06,60.46,6.90
2025-06-21 20:30:00,37.02,59.83,6.89
2025-06-21 20:45:00,36.99,60.32,6.89
2025-06-21 21:00:00,36.99,60.83,6.89
2025-06-21 21:15:00,36.97,60.19,6.89
2025-06-21 21:30:00,36.96,59.82,6.89
2025-06-21 21:45:00,37.03,59.91,6.89
2025-06-21 22:00:00,36.99,60.60,6.88
