"","A201-BCP001-BIO0001-TT00026.BIO-BIO-TEM-CTR","A201-BCP001-BIO0001-AIT0024.BIO-DOX-DOX-CTR","A201-BCP001-BIO0001-AIT0022.BIO-PH1-PHZ-CTR",""
"Time","Value | First","Value | First","Value | First",""
"6/22/2025 3:45:00 AM","36.97","60.63","6.87",""
"6/22/2025 4:00:00 AM","36.92","60.25","6.88",""
"6/22/2025 4:15:00 AM","36.97","59.68","6.88",""
"6/22/2025 4:30:00 AM","37.00","59.81","6.88",""
"6/22/2025 4:45:00 AM","37.05","60.62","6.88",""
"6/22/2025 5:00:00 AM","37.06","61.14","6.88",""
"6/22/2025 5:15:00 AM","37.07","59.76","6.88",""
"6/22/2025 5:30:00 AM","37.02","59.05","6.88",""
"6/22/2025 5:45:00 AM","36.93","59.40","6.88",""
"6/22/2025 6:00:00 AM","36.93","60.06","6.88",""
"6/22/2025 6:15:00 AM","37.05","59.99","6.88",""
"6/22/2025 6:30:00 AM","36.97","60.08","6.88",""
"6/22/2025 6:45:00 AM","37.05","59.81","6.88",""
"6/22/2025 7:00:00 AM","37.01","60.35","6.88",""
"6/22/2025 7:15:00 AM","36.98","60.52","6.88",""
"6/22/2025 7:30:00 AM","36.96","59.44","6.88",""
"6/22/2025 7:45:00 AM","37.02","59.36","6.88",""
"6/22/2025 8:00:00 AM","36.94","60.06","6.88",""
"6/22/2025 8:15:00 AM","36.97","59.83","6.88",""
"6/22/2025 8:30:00 AM","36.92","59.90","6.88",""
"6/22/2025 8:45:00 AM","36.97","60.30","6.88",""
"6/22/2025 9:00:00 AM","37.05","60.04","6.88",""
"6/22/2025 9:15:00 AM","37.05","60.35","6.88",""
"6/22/2025 9:30:00 AM","37.07","59.96","6.88",""
"6/22/2025 9:45:00 AM","36.99","59.93","6.88",""
"6/22/2025 10:00:00 AM","36.94","59.93","6.88",""
"6/22/2025 10:15:00 AM","36.97","59.71","6.87",""
"6/22/2025 10:30:00 AM","37.00","60.32","6.87",""
"6/22/2025 10:45:00 AM","37.02","60.67","6.87",""
"6/22/2025 11:00:00 AM","37.07","61.19","6.87",""
